727194	656503
1692202	1372761
712309	751942
1567735	801414
382089	825945
1455862	1686247
1647240	888618
523158	1665534
1539557	1500641
264423	1536424
1560584	1313740
1610492	636287
1191433	1476361
1405564	1551612
217328	995104
1567735	380617
998386	780836
125721	496427
1202596	380617
554335	1367343
1242688	751942
1551612	624312
1257474	99819
1476361	624312
772896	255359
671536	772896
1187762	465574
1573489	995104
975717	99819
633670	112720
1611522	1692202
1659566	975717
624312	1536424
255359	1191433
99819	1541978
1202596	801414
324512	286995
99819	1536424
99819	1405564
1272677	465574
1254706	864338
876970	1493966
1630382	670393
1659566	1541978
957957	1608160
658678	1613951
1536424	1629538
858750	583266
99819	1361617
1308795	1536424
727562	624312
1361617	1536424
1536320	1274443
925311	852439
289351	1071703
1536424	1551612
1415006	423651
487373	656503
1536424	1630443
594866	408361
354821	1692202
780836	1333312
255359	727194
1361617	1541978
1508964	1154985
994729	1114230
1154985	1333312
1459452	1692202
838154	1646196
1220013	1474337
1541978	210232
1276917	1253590
1659566	1476361
520558	594866
146656	1630443
915636	1333312
1361617	624312
221117	522329
435845	873551
418830	13695
1708765	1636884
1114230	386338
425867	1289971
206385	829453
20094	62685
1630443	99819
1476361	99819
1513512	1692202
255359	1493966
513648	355408
210232	1361617
13068	1154985
255359	1536424
99819	554335
1673424	1274443
266705	1536424
380644	929521
1629538	624312
975717	210232
1324842	1474337
99819	1659566
1360123	769039
641087	1154985
386338	994729
727194	624312
1009021	312016
726014	1324842
630738	367047
1673424	1333312
624312	554335
1191433	1551612
264423	99819
1572560	1568297
515647	1227794
1497302	751942
119087	408361
1317174	266705
1536424	554335
333072	1692202
826927	1165579
268257	1412374
447267	1551612
761523	979033
729263	1227794
1308795	255359
447951	1093859
812653	1027647
1673424	849202
495400	794935
1154985	780836
751942	1557626
1361617	1659566
255359	1551612
624312	99819
1033282	1198663
1629538	1551612
1568297	848589
1191433	727194
380617	801414
749203	1071703
802021	1536424
296212	1536424
1331571	1013436
1630443	624312
801809	68987
900206	223827
503015	712309
